context:timestamp,org_abbr,sector,prov,municipality,status,context:location:latitude,context:location:longitude,m_code_str,m_code
4/24/2012 15:00,ACF,Nutrition,LEYTE,DULAG,Ongoing,10.9633,125.008,83718000,83718
4/24/2012 15:00,ACF,Nutrition,LEYTE,PALO,Completed,11.1457,124.97,83739000,83739
4/24/2012 15:00,ACF,Nutrition,LEYTE,TACLOBAN CITY (CAPITAL),Ongoing,11.2724,124.955,83747000,83747
4/24/2012 15:00,ACF/HOM,Nutrition,EASTERN SAMAR,BALANGIGA,Ongoing,11.2017,125.364,82602000,82602
4/24/2012 15:00,ACF/HOM,Nutrition,EASTERN SAMAR,BALANGIGA,Planned,11.2017,125.364,82602000,82602
4/24/2012 15:00,ACF/HOM,Nutrition,SAMAR (WESTERN SAMAR),BASEY,Ongoing,11.3937,125.152,86002000,86002
4/24/2012 15:00,ACF/HOM,Nutrition,SAMAR (WESTERN SAMAR),BASEY,Planned,11.3937,125.152,86002000,86002
4/24/2012 15:00,ACF/HOM,Nutrition,EASTERN SAMAR,GENERAL MACARTHUR,Planned,11.2674,125.507,82607000,82607
4/24/2012 15:00,ACF/HOM,Nutrition,EASTERN SAMAR,GIPORLOS,Ongoing,11.1271,125.475,82608000,82608
4/24/2012 15:00,ACF/HOM,Nutrition,EASTERN SAMAR,GIPORLOS,Planned,11.1271,125.475,82608000,82608
4/24/2012 15:00,ACF/HOM,Nutrition,EASTERN SAMAR,GUIUAN,Ongoing,10.8515,125.737,82609000,82609
4/24/2012 15:00,ACF/HOM,Nutrition,EASTERN SAMAR,GUIUAN,Planned,10.8515,125.737,82609000,82609
4/24/2012 15:00,ACF/HOM,Nutrition,EASTERN SAMAR,LAWAAN,Ongoing,11.2021,125.287,82612000,82612
4/24/2012 15:00,ACF/HOM,Nutrition,EASTERN SAMAR,LAWAAN,Planned,11.2021,125.287,82612000,82612
4/24/2012 15:00,ACF/HOM,Nutrition,EASTERN SAMAR,LLORENTE,Planned,11.3428,125.448,82613000,82613
4/24/2012 15:00,ACF/HOM,Nutrition,SAMAR (WESTERN SAMAR),MARABUT,Ongoing,11.2058,125.218,86010000,86010
