context:timestamp,org_abbr,sector,prov,municipality,status,context:location:latitude,context:location:longitude,m_code_str,m_code,
4/24/12 15:00,REACT Philippines (Singapore team),Health,CEBU,BANTAYAN,completed,11.1873,123.726,72209000,,
4/24/12 15:00,HOM in coop with HHRD Helping Hand for Relieaf and Development,Health,CEBU,CITY OF BOGO,ongoing,11.0234,123.996,72211000,,
4/24/12 15:00,Israeli Defense Force,Health,CEBU,CITY OF BOGO,completed,11.0234,123.996,72211000,,
4/24/12 15:00,ALMNS,Health,CEBU,DAANBANTAYAN,completed,11.227,124.023,72221000,,
4/24/12 15:00,International Medical Corps,Health,CEBU,DAANBANTAYAN,completed,11.227,124.023,72221000,,
4/24/12 15:00,JICA/JSDF - Japan International Cooperation Agency/Japan Self Defense Force,Health,CEBU,DAANBANTAYAN,completed,11.227,124.023,72221000,,
4/24/12 15:00,Magna Children at Risk,Health,CEBU,DAANBANTAYAN,completed,11.227,124.023,72221000,,
4/24/12 15:00,Magna Children at Risk,Health,CEBU,DAANBANTAYAN,ongoing,11.227,124.023,72221000,,
4/24/12 15:00,Philippine Red Cross/ Japan Red Cross/ IFRC,Health,CEBU,DAANBANTAYAN,ongoing,11.227,124.023,72221000,,
4/24/12 15:00,World Vision International,Health,CEBU,DAANBANTAYAN,completed,11.227,124.023,72221000,,
4/24/12 15:00,World Vision International,Health,CEBU,DAANBANTAYAN,ongoing,11.227,124.023,72221000,,
4/24/12 15:00,Corps Mondial de Secour,Health,CEBU,MEDELLIN,completed,11.1409,123.977,72231000,,
4/24/12 15:00,Magna Children at Risk,Health,CEBU,MEDELLIN,ongoing,11.1409,123.977,72231000,,
4/24/12 15:00,MER-C Indonesia,Health,CEBU,MEDELLIN,completed,11.1409,123.977,72231000,,
4/24/12 15:00,LandsAid,Health,CEBU,SAN REMIGIO,completed,10.9836,123.936,72243000,,
4/24/12 15:00,SAMU Sevilla,Health,Leyte,SANTA FE,completed,11.1887,124.936,83744000,,
4/24/12 15:00,Asian Hope Tree,Health,CEBU,TABOGON,completed,10.934,124,72248000,,
4/24/12 15:00,IFRC/KRC,Health,CEBU,TABOGON,completed,10.934,124,72248000,,
4/24/12 15:00,Team from Korea (Info from CHO),Health,CEBU,TABOGON,completed,10.934,124,72248000,,
4/24/12 15:00,World Vision International,Health,CEBU,TABOGON,completed,10.934,124,72248000,,
4/24/12 15:00,World Vision International,Health,CEBU,TABOGON,ongoing,10.934,124,72248000,,
4/24/12 15:00,Muhammadiyah Disaster M.C,Health,CEBU,TUBURAN,completed,10.716,123.87,72252000,,
4/24/12 15:00,DOH-PHO,Health,Eastern Samar,BALANGIGA,planned,11.2017,125.364,82602000,,
4/24/12 15:00,DOH-PHO,Health,Eastern Samar,BALANGKAYAN,planned,11.4092,125.405,82603000,,
4/24/12 15:00,DOH-PHO,Health,Eastern Samar,GENERAL MACARTHUR,planned,11.2674,125.507,82607000,,
4/24/12 15:00,DOH-PHO,Health,Eastern Samar,GIPORLOS,planned,11.1271,125.475,82608000,,
4/24/12 15:00,DOH-PHO,Health,Eastern Samar,GUIUAN,planned,10.8515,125.737,82609000,,
4/24/12 15:00,DOH-PHO,Health,Eastern Samar,HERNANI,planned,11.3267,125.592,82610000,,
4/24/12 15:00,DOH-PHO,Health,Eastern Samar,LAWAAN,planned,11.2021,125.287,82612000,,
4/24/12 15:00,DOH-PHO,Health,Eastern Samar,MERCEDES,planned,11.089,125.705,82616000,,
4/24/12 15:00,DOH-PHO,Health,Eastern Samar,QUINAPONDAN,planned,11.1896,125.477,82618000,,
4/24/12 15:00,DOH-PHO,Health,Eastern Samar,SALCEDO,planned,11.1593,125.628,82619000,,
4/24/12 15:00,ICRC,Health,Eastern Samar,BALANGIGA,ongoing,11.2017,125.364,82602000,,
4/24/12 15:00,ICRC,Health,Eastern Samar,BALANGIGA,planned,11.2017,125.364,82602000,,
4/24/12 15:00,ICRC,Health,Eastern Samar,GIPORLOS,ongoing,11.1271,125.475,82608000,,
4/24/12 15:00,ICRC,Health,Eastern Samar,LAWAAN,ongoing,11.2021,125.287,82612000,,
4/24/12 15:00,ICRC,Health,Eastern Samar,QUINAPONDAN,ongoing,11.1896,125.477,82618000,,
4/24/12 15:00,MSF - Medecins Sans Frontieres,Health,Eastern Samar,GENERAL MACARTHUR,ongoing,11.2674,125.507,82607000,,
4/24/12 15:00,MSF - Medecins Sans Frontieres,Health,Eastern Samar,GUIUAN,ongoing,10.8515,125.737,82609000,,
4/24/12 15:00,MSF - Medecins Sans Frontieres,Health,Eastern Samar,GUIUAN,planned,10.8515,125.737,82609000,,
4/24/12 15:00,MSF - Medecins Sans Frontieres,Health,Eastern Samar,HERNANI,planned,11.3267,125.592,82610000,,
4/24/12 15:00,MSF - Medecins Sans Frontieres,Health,Eastern Samar,MERCEDES,planned,11.089,125.705,82616000,,
4/24/12 15:00,MSF - Medecins Sans Frontieres,Health,Eastern Samar,SALCEDO,planned,11.1593,125.628,82619000,,
4/24/12 15:00,Plan International,Health,Eastern Samar,BALANGIGA,planned,11.2017,125.364,82602000,,
4/24/12 15:00,Plan International,Health,Eastern Samar,BALANGKAYAN,planned,11.4092,125.405,82603000,,
4/24/12 15:00,Plan International,Health,Eastern Samar,GIPORLOS,planned,11.1271,125.475,82608000,,
4/24/12 15:00,Plan International,Health,Eastern Samar,GUIUAN,planned,10.8515,125.737,82609000,,
4/24/12 15:00,Plan International,Health,Eastern Samar,HERNANI,planned,11.3267,125.592,82610000,,
4/24/12 15:00,Plan International,Health,Eastern Samar,LAWAAN,planned,11.2021,125.287,82612000,,
4/24/12 15:00,Plan International,Health,Eastern Samar,MERCEDES,planned,11.089,125.705,82616000,,
4/24/12 15:00,Plan International,Health,Eastern Samar,QUINAPONDAN,planned,11.1896,125.477,82618000,,
4/24/12 15:00,Plan International,Health,Eastern Samar,SALCEDO,planned,11.1593,125.628,82619000,,
4/24/12 15:00,UNFPA - United Nations Population Fund,Health,Eastern Samar,BALANGIGA,planned,11.2017,125.364,82602000,,
4/24/12 15:00,UNFPA - United Nations Population Fund,Health,Eastern Samar,GUIUAN,planned,10.8515,125.737,82609000,,
4/24/12 15:00,WHO - World Health Organization,Health,Eastern Samar,BALANGIGA,completed,11.2017,125.364,82602000,,
4/24/12 15:00,WHO-DOH,Health,Eastern Samar,QUINAPONDAN,planned,11.1896,125.477,82618000,,
4/24/12 15:00,WHO - World Health Organization,Health,Eastern Samar,BALANGKAYAN,planned,11.4092,125.405,82603000,,
4/24/12 15:00,ACF International Philippines Mission,Health,Leyte,DULAG,ongoing,10.9633,125.008,83718000,,
4/24/12 15:00,Americares,Health,Leyte,Palo,ongoing,11.1457,124.97,83739000,,
4/24/12 15:00,Child Fund International,Health,Leyte,Palo,ongoing,11.1457,124.97,83739000,,
4/24/12 15:00,Child Fund International,Health,Leyte,Tolosa,ongoing,11.0369,125.02,83749000,,
4/24/12 15:00,FPOP/Saudes em Portugues,Health,Leyte,Mayorga,ongoing,10.8832,124.988,83735000,,
4/24/12 15:00,FPOP/Saudes em Portugues,Health,Leyte,SANTA FE,ongoing,11.1887,124.936,83744000,,
4/24/12 15:00,Handicap International,Health,Leyte,SANTA FE,ongoing,11.1887,124.936,83744000,,
4/24/12 15:00,Handicap International,Health,Leyte,Tanauan,ongoing,11.0846,124.991,83748000,,
4/24/12 15:00,Humedica (Germany),Health,Leyte,Babatngon,completed,11.388,124.895,83705000,,
4/24/12 15:00,International Medical Corps,Health,Leyte,BURAUEN,ongoing,10.9639,124.855,83710000,,
4/24/12 15:00,International Medical Corps,Health,Leyte,DAGAMI,ongoing,11.0614,124.863,83717000,,
4/24/12 15:00,International Medical Corps,Health,Leyte,DULAG,ongoing,10.9633,125.008,83718000,,
4/24/12 15:00,International Medical Corps,Health,Leyte,LA PAZ,ongoing,10.8808,124.903,83728000,,
4/24/12 15:00,International Medical Corps,Health,Leyte,MACARTHUR,ongoing,10.8248,124.938,83730000,,
4/24/12 15:00,International Medical Corps,Health,Leyte,Mayorga,ongoing,10.8832,124.988,83735000,,
4/24/12 15:00,International Medical Corps,Health,Leyte,Tabontabon,ongoing,11.0441,124.947,83746000,,
4/24/12 15:00,International Medical Corps,Health,Leyte,Tolosa,ongoing,11.0369,125.02,83749000,,
4/24/12 15:00,Kusog Tacloban,Health,Leyte,Dulag,completed,10.9633,125.008,83718000,,
4/24/12 15:00,Kusog Tacloban,Health,Leyte,Palo,completed,11.1457,124.97,83739000,,
4/24/12 15:00,Kusog Tacloban,Health,Leyte,Tanauan,completed,11.0846,124.991,83748000,,
4/24/12 15:00,Magna Children at Risk,Health,Leyte,KANANGA,ongoing,11.169,124.564,83726000,,
4/24/12 15:00,Magna Children at Risk,Health,Leyte,Palo,ongoing,11.1457,124.97,83739000,,
4/24/12 15:00,MDM France,Health,Leyte,ALBUERA,completed,10.9258,124.745,83703000,,
4/24/12 15:00,MDM France,Health,Leyte,Abuyog,ongoing,10.6584,125.045,83701000,,
4/24/12 15:00,MDM France,Health,Leyte,Carigara,ongoing,11.2368,124.693,83715000,,
4/24/12 15:00,MDM Spain,Health,Leyte,Carigara,ongoing,11.2368,124.693,83715000,,
4/24/12 15:00,Mercy In Action,Health,Leyte,Dulag,completed,10.9633,125.008,83718000,,
4/24/12 15:00,MSF - France,Health,Leyte,Palo,ongoing,11.1457,124.97,83739000,,
4/24/12 15:00,MSF - France,Health,Leyte,Tanauan,completed,11.0846,124.991,83748000,,
4/24/12 15:00,MSF - France,Health,Leyte,Tanauan,ongoing,11.0846,124.991,83748000,,
4/24/12 15:00,MSF - France,Health,Leyte,Tolosa,completed,11.0369,125.02,83749000,,
4/24/12 15:00,MSF - Holland,Health,Leyte,Leyte,completed,11.338,124.494,83729000,,
4/24/12 15:00,MSF - Holland,Health,Leyte,AlangAlang,completed,11.22,124.864,83702000,,
4/24/12 15:00,MSF - Holland,Health,Leyte,Jaro,completed,11.162,124.766,83723000,,
4/24/12 15:00,MSF - Holland,Health,Leyte,Pastrana,completed,11.1154,124.861,83741000,,
4/24/12 15:00,MSF - Holland,Health,Leyte,SANTA FE,completed,11.1887,124.936,83744000,,
4/24/12 15:00,MSF- Spain,Health,Leyte,BURAUEN,completed,10.9639,124.855,83710000,,
4/24/12 15:00,Philippine Red Cross,Health,Leyte,ALBUERA,ongoing,10.9258,124.745,83703000,,
4/24/12 15:00,Philippine Red Cross,Health,Leyte,ISABEL,ongoing,10.9403,124.46,83722000,,
4/24/12 15:00,Philippine Red Cross,Health,Leyte,KANANGA,ongoing,11.169,124.564,83726000,,
